Wall time,Step,Value
1745974477.8388336,44522,-1.2897368669509888
1745974655.617367,44711,-1.1324948072433472
1745974667.8414848,44724,-1.116049885749817
1745974673.4099324,44730,-1.1159967184066772
1745974702.4810004,44761,-1.0570693016052246
1745974904.1738353,44976,-1.1229114532470703
1745976387.001099,46492,-1.148698329925537
1745976769.261211,46890,-1.1271092891693115
1745976935.8369794,47063,-1.421002745628357
1745976939.6488855,47067,-1.1442298889160156
1745976954.8315413,47083,-1.1915149688720703
1745976982.8762527,47112,-1.1513170003890991
1745977048.3055964,47178,-1.3830156326293945
1745977167.593545,47304,-1.3401744365692139
1745977473.3989296,47625,-1.0794142484664917
1745977866.1177144,47999,-1.107837438583374
1745978044.986202,48189,-1.0496840476989746
1745978099.7994056,48247,-1.1272156238555908
1745978229.6604798,48385,-1.0944318771362305
1745978347.9790585,48510,-1.0672779083251953
1745978469.3413877,48635,-1.0909247398376465
1745978546.6369665,48717,-1.200404405593872
1745978665.163972,48843,-1.0999369621276855
1745978970.71223,49165,-1.310509204864502
1745979112.485925,49314,-1.0919259786605835
1745979270.6812878,49483,-1.0849618911743164
1745979525.901472,49752,-1.1619436740875244
1745979630.3796475,49864,-1.1158740520477295
1745979795.1184645,50010,-1.0542702674865723
1745980029.1728904,50261,-1.0835458040237427
1745980383.001837,50639,-1.2194955348968506
1745980438.0448964,50697,-1.1397740840911865
1745981484.6465623,51797,-1.094587802886963
1745981609.3440387,51930,-1.0577514171600342
1745981615.0219946,51936,-1.2142398357391357
1745981647.7336993,51971,-1.134570598602295
1745981687.1743305,52013,-1.0724458694458008
1745981919.1261046,52229,-1.3637293577194214
1745981951.0750434,52263,-1.2232064008712769
1745982034.8958983,52352,-1.0930999517440796
1745982046.168974,52364,-1.086268424987793
1745982079.152103,52399,-1.1189110279083252
1745982354.3160276,52666,-1.090293288230896
1745982834.772683,52967,-1.0804356336593628
1745983040.4268994,53082,-1.0883079767227173
1745983353.230527,53254,-1.318632960319519
1745983895.198827,53623,-1.1941516399383545
1745984533.7130158,54041,-1.1707017421722412
1745985312.864995,54458,-1.2492940425872803
1745985544.5446143,54592,-1.1112940311431885
1745985876.1992793,54766,-1.0278074741363525
1745986338.4656184,55079,-1.098333716392517
1745986436.0262449,55148,-1.2458088397979736
1745986853.8674762,55367,-1.3252143859863281
1745987081.0078154,55499,-1.1100850105285645
1745987246.764382,55586,-1.2221081256866455
1745987328.6235616,55629,-1.230554461479187
1745987439.8676314,55718,-1.0744909048080444
1745987937.5485904,55982,-1.0616225004196167
1745988556.6784706,56291,-1.1504329442977905
1745988919.3616204,56481,-1.026312232017517
1745989606.9522693,56932,-1.0348985195159912
1745989632.4611397,56959,-1.1095186471939087
1745989735.0437977,57066,-1.0547370910644531
1745990058.4931374,57412,-1.0701768398284912
1745990094.9864058,57451,-1.0937604904174805
1745990515.8465264,57898,-1.3216760158538818
1745990559.371488,57944,-1.0376720428466797
1745990939.9666317,58170,-1.381870150566101
1745991395.6796374,58397,-1.0804526805877686
1745991410.8207238,58405,-1.087520956993103
1745991806.4789639,58615,-1.1057941913604736
1745991881.230385,58655,-1.1359525918960571
