Wall time,Step,Value
1746643687.2351334,16241,6864.8466796875
1746643737.6537435,16313,7075.22900390625
1746643792.526727,16392,7852.9775390625
1746643816.29144,16427,7520.87109375
1746644100.6778543,16834,7302.41015625
1746644122.7452493,16866,7740.41064453125
1746644132.601813,16880,6559.8623046875
1746644134.7005432,16883,6580.87548828125
1746644151.2831907,16907,7713.259765625
1746644178.5694146,16947,8083.76220703125
1746644298.9762826,17120,6700.34619140625
1746644303.1824565,17126,7722.99462890625
1746644303.8796828,17127,7747.3310546875
1746644398.877498,17263,7586.02880859375
1746644487.4302542,17394,7321.75341796875
1746644512.1677735,17431,8050.93408203125
1746644602.9975998,17563,6972.8310546875
1746644651.4793522,17632,8347.775390625
1746644690.5002582,17688,6784.2490234375
1746644696.8225617,17697,12259.4248046875
1746644720.7041862,17731,7681.28759765625
1746644911.002819,18005,10798.599609375
1746644992.6718674,18121,10330.701171875
1746644998.2157428,18129,9550.1904296875
1746645000.9885375,18133,13808.98828125
1746645003.9063787,18137,11458.267578125
1746645187.978598,18405,14922.3623046875
1746645229.470275,18468,15321.4267578125
1746645238.203699,18481,13822.9873046875
1746645244.0384011,18490,18589.0390625
1746645265.1481297,18522,14375.1630859375
1746645436.0175924,18759,12280.82421875
1746645440.0831323,18765,9906.6650390625
1746645450.2354147,18780,12646.87109375
1746645460.843731,18795,15163.2568359375
1746645536.6137638,18904,10349.2900390625
1746645678.6687968,19109,17542.876953125
1746645681.3425062,19113,11498.046875
1746645746.7787688,19209,11991.7705078125
1746645822.574785,19319,9861.6435546875
1746645862.8452978,19377,14389.0966796875
1746645882.90772,19406,10802.46484375
1746645947.3638532,19498,9121.4375
1746645949.479354,19501,12682.40234375
1746645980.8382392,19546,14966.3134765625
1746646029.3888922,19617,13121.0966796875
1746646183.3745248,19841,15806.771484375
1746646197.420006,19861,14729.896484375
1746646239.3603485,19922,16387.16796875
1746646293.3187714,19999,10500.84375
1746646541.6785922,20362,17309.44140625
1746646564.131099,20394,16430.892578125
1746646594.766493,20440,8175.462890625
1746646630.022171,20493,8929.2294921875
1746646689.1051738,20578,11940.67578125
1746646691.1356802,20581,17270.146484375
1746646716.8828442,20618,9598.7294921875
1746646736.5118525,20646,14085.8017578125
1746646748.8696983,20664,16393.814453125
1746646750.2087228,20666,15533.3974609375
1746646813.7345188,20760,15305.20703125
1746646876.7175622,20841,13314.70703125
1746646950.3331108,20951,9706.7861328125
1746646962.0768747,20968,15011.1259765625
1746646970.0052254,20979,15939.1435546875
1746646984.4605515,21000,17929.15625
1746647009.1208553,21036,8208.6982421875
1746647020.0091324,21052,16036.7958984375
1746647072.3917282,21129,9190.318359375
1746647143.0202506,21233,9894.0146484375
1746647166.6276352,21267,9513.890625
1746647196.2491658,21311,11623.556640625
1746647384.126791,21582,10215.3212890625
1746647395.4189703,21598,14150.201171875
1746647450.1060455,21676,11836.6298828125
1746647451.4455786,21678,12778.29296875
